

DateTime: 2018-04-14 16:12:53
top - 16:12:53 up  1:20,  1 user,  load average: 0.38, 0.76, 0.88
Tasks: 224 total,   1 running, 223 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.1 us,  3.3 sy,  0.3 ni, 75.6 id,  6.6 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem : 16314700 total,  9199248 free,  2087996 used,  5027456 buff/cache
KiB Swap: 16659452 total, 16659452 free,        0 used. 13444628 avail Mem

PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
975 root      20   0  276680   8168   5332 S   0.0  0.1   0:00.00 lightdm
993 root      20   0  281848   8500   5968 S   0.0  0.1   0:00.17 polkitd
1002 root      20   0  469836 100940  86016 S   0.0  0.6   2:57.71 Xorg
1043 mysql     20   0 1370060 169676  17232 S   0.0  1.0   0:27.34 mysqld
1057 postgres  20   0  294700  24144  22428 S   0.0  0.1   0:00.01 postgres
1061 root      20   0   44128   7208   6424 S   0.0  0.0   0:00.38 wpa_suppli+
1081 whoopsie  20   0  373988  12384  10752 S   0.0  0.1   0:00.12 whoopsie
1097 root      20   0   15936   1788   1652 S   0.0  0.0   0:00.00 agetty
1121 root      20   0  286392  29668  23828 S   0.0  0.2   0:00.25 php-fpm7.0
1124 www-data  20   0  286392   7380   1540 S   0.0  0.0   0:00.00 php-fpm7.0
1125 www-data  20   0  286392   7380   1540 S   0.0  0.0   0:00.00 php-fpm7.0
1126 postgres  20   0  294700   3944   2232 S   0.0  0.0   0:00.00 postgres
1127 postgres  20   0  294700   5560   3848 S   0.0  0.0   0:00.06 postgres
1128 postgres  20   0  294700   3944   2232 S   0.0  0.0   0:00.03 postgres
1129 postgres  20   0  295108   6520   4568 S   0.0  0.0   0:00.00 postgres
1130 postgres  20   0  149684   3120   1408 S   0.0  0.0   0:00.00 postgres
